year,new_pubmed_citations
1965,176833
1966,180110
1967,191969
1968,208179
1969,215444
1970,219452
1971,223536
1972,228018
1973,231197
1974,235192
1975,249107
1976,255357
1977,262389
1978,272373
1979,282294
1980,280871
1981,283518
1982,295918
1983,309545
1984,318391
1985,335506
1986,349873
1987,367951
1988,387057
1989,403063
1990,411055
1991,413473
1992,418207
1993,426944
1994,438280
1995,449210
1996,459165
1997,398464
1998,437141
1999,456815
2000,499203
2001,541673
2002,605931
2003,610703
2004,631538
2005,691693
2006,713214
2007,749856
2008,794592
2009,804856
2010,839548
2011,897754
2012,941352
2013,998630
2014,1067948
2015,1091542
2016,1136614
2017,1135748
2018,1180995
2019,1243000
2020,1444105
2021,1543798
2022,1539864
2023,1499335
2024,1542522
2025,687896
