paragraph_id,recombined_triple_similarity,combined_proposition_similarity,combined_coref_similarity
1185,0.822962,0.824673,0.824496
1186,0.887191,0.866105,0.860113
1183,0.725707,0.708631,0.709328
1184,0.933015,0.935146,0.935146
1187,0.970257,0.980681,0.977962
1188,0.730515,0.746243,0.746243
1189,0.824275,0.824363,0.824363
1190,0.836614,0.904639,0.888109
1191,0.860101,0.873203,0.871719
1192,0.802636,0.864586,0.875483
1193,0.946866,0.957545,0.945404
1194,0.884577,0.931476,0.926145
1196,0.952400,0.970866,0.971764
1195,0.886668,0.948695,0.904959
1197,0.902578,0.957851,0.943857
1198,0.960324,0.965798,0.962942
1199,0.910276,0.956498,0.928360
1202,0.893998,0.924647,0.924873
1201,0.951388,0.986288,0.986288
1200,0.871993,0.877363,0.877363
1203,0.902472,0.937260,0.911899
1205,0.958024,0.965852,0.965852
1206,0.910425,0.903523,0.903523
1208,0.848456,0.859009,0.856113
1207,0.938932,0.977794,0.977794
1204,0.941335,0.985845,0.985845
1209,0.899623,0.965282,0.954869
1211,0.942854,0.987804,0.979749
1210,0.942461,0.968461,0.968461
1212,0.909298,0.906452,0.904349
1214,0.935725,0.944551,0.944551
1213,0.950548,0.967536,0.949667
1215,0.947462,0.948969,0.916360
1217,0.724448,0.757297,0.742560
1219,0.901530,0.921477,0.921477
1216,0.847829,0.975940,0.876748
1220,0.956517,0.959093,0.959093
1218,0.749443,0.724880,0.747590
1222,0.815647,0.851933,0.851933
1224,0.900440,0.950081,0.901330
1221,0.816999,0.962334,0.839128
1226,0.951026,0.975153,0.970642
1223,0.894268,0.877497,0.879085
1225,0.810664,0.795288,0.798010
1227,0.880374,0.943595,0.919954
1228,0.892438,0.898679,0.898679
1231,0.923534,0.932983,0.924323
1229,0.862339,0.948008,0.875758
1232,0.856699,0.886799,0.886799
1230,0.908164,0.983488,0.924113
1233,0.903551,0.969643,0.934815
1234,0.846155,0.927568,0.861819
1237,0.919114,0.987441,0.940395
1236,0.906939,0.904584,0.904584
1235,0.859909,0.893306,0.892304
1238,0.900937,0.938772,0.938772
1239,0.878242,0.922283,0.905406
1240,0.736340,0.732509,0.732509
1241,0.904160,0.919218,0.919218
1242,0.921960,0.900691,0.914460
1243,0.960359,0.987796,0.987864
1246,0.845176,0.841186,0.841186
1245,0.946294,0.982975,0.948890
1244,0.956926,0.970832,0.969211
1247,0.898825,0.937616,0.918809
1248,0.889512,0.965904,0.875540
1249,0.847872,0.877785,0.882280
1250,0.886269,0.963383,0.945175
1251,0.851292,0.852187,0.852336
1252,0.946165,0.985156,0.952830
1254,0.958024,0.972420,0.972420
1253,0.943032,0.947483,0.947483
1255,0.962622,0.984371,0.984371
1258,0.942398,0.989432,0.986295
1257,0.739118,0.865870,0.794877
1259,0.903238,0.925322,0.924806
1260,0.786282,0.809184,0.797450
1256,0.951499,0.962691,0.956662
1261,0.839036,0.861417,0.861417
1262,0.820848,0.874128,0.874128
1264,0.879943,0.941228,0.940338
1263,0.877901,0.918395,0.919801
1266,0.892235,0.916166,0.916166
1265,0.763701,0.752040,0.752040
1269,0.917239,0.935159,0.935159
1268,0.913431,0.952797,0.914575
1270,0.926969,0.950111,0.936796
1267,0.919529,0.959560,0.944383
1271,0.835488,0.918932,0.904988
1272,0.885595,0.962749,0.923844
1276,0.863330,0.873079,0.856180
1274,0.958106,0.980096,0.978304
1273,0.769714,0.789433,0.789433
1275,0.915966,0.956369,0.935040
1278,0.937679,0.966385,0.954826
1277,0.904253,0.949105,0.926485
1280,0.679005,0.692544,0.692544
1279,0.896474,0.967471,0.905623
1281,0.827894,0.834807,0.834807
1283,0.956896,0.965883,0.954541
1284,0.876772,0.894556,0.892239
1285,0.922401,0.939283,0.939582
1282,0.938699,0.944327,0.944327
1286,0.807213,0.941417,0.867523
1288,0.798669,0.974028,0.918441
1287,0.875885,0.733285,0.876227
1289,0.967911,0.979117,0.979117
1290,0.840962,0.857328,0.857515
1291,0.865802,0.919318,0.919318
1293,0.874407,0.911505,0.907121
1295,0.788825,0.869184,0.786210
1294,0.868062,0.945735,0.897214
1296,0.922755,0.926616,0.934352
1297,0.916546,0.947555,0.947555
1299,0.913039,0.936654,0.936654
1298,0.794286,0.834685,0.834685
1292,0.959884,0.970581,0.970581
1300,0.915771,0.936496,0.936496
1303,0.936284,0.941838,0.941838
1301,0.960730,0.896720,0.896720
1304,0.916714,0.944765,0.947554
1302,0.951718,0.969294,0.969294
1305,0.744196,0.846446,0.846261
1308,0.860158,0.862700,0.862914
1306,0.774432,0.779676,0.779676
1307,0.916036,0.976449,0.942644
1309,0.871779,0.883782,0.878867
1310,0.899345,0.951348,0.951348
1312,0.931570,0.937670,0.932185
1311,0.865176,0.864849,0.864849
1314,0.959295,0.968116,0.969267
1313,0.894671,0.966539,0.909499
1315,0.927838,0.938080,0.937181
1316,0.929661,0.954942,0.954942
1317,0.911452,0.962320,0.959770
1318,0.907245,0.968652,0.933934
1319,0.828138,0.962313,0.877551
1320,0.686842,0.700502,0.704250
1324,0.865201,0.974143,0.950238
1322,0.953731,0.965953,0.965953
1321,0.798179,0.955126,0.921157
1323,0.931718,0.976485,0.939991
1326,0.857827,0.861744,0.852115
1327,0.897583,0.924202,0.929683
1328,0.869478,0.901170,0.846822
1325,0.883044,0.971088,0.952873
1329,0.911219,0.906689,0.881685
1331,0.836983,0.917913,0.913949
1330,0.934797,0.936787,0.936787
1335,0.959213,0.959213,0.959213
1333,0.883192,0.853682,0.903674
1332,0.706613,0.795598,0.795598
1334,0.804961,0.939431,0.882741
1336,0.750116,0.772283,0.772283
1339,0.917382,0.938956,0.923641
1337,0.856191,0.865039,0.865039
1340,0.759582,0.872211,0.853869
1338,0.903047,0.912690,0.912690
1342,0.811132,0.945998,0.821697
1344,0.931894,0.947622,0.947622
1343,0.861250,0.874757,0.874757
1341,0.949617,0.983286,0.964103
1345,0.815227,0.814680,0.829304
1348,0.772950,0.854766,0.854766
1347,0.925294,0.926503,0.918390
1346,0.896095,0.972953,0.923093
1349,0.798788,0.954448,0.912523
1352,0.918303,0.926039,0.926039
1350,0.853286,0.880353,0.880353
1353,0.953864,0.971042,0.971042
1351,0.915342,0.964392,0.923797
1354,0.924187,0.956454,0.928465
1356,0.780803,0.910792,0.855999
1357,0.898145,0.903662,0.919569
1355,0.847060,0.877173,0.877173
1358,0.868085,0.920455,0.881800
1360,0.959088,0.983304,0.982061
1359,0.908842,0.923498,0.923498
1364,0.928876,0.953507,0.930143
1363,0.841944,0.837571,0.837571
1362,0.884451,0.862386,0.863945
1361,0.909799,0.946407,0.946407
1368,0.940218,0.968331,0.940218
1366,0.909448,0.961590,0.952254
1365,0.876684,0.897725,0.894475
1367,0.864118,0.910050,0.910050
1369,0.930140,0.969688,0.969688
1370,0.853174,0.844882,0.826993
1371,0.940948,0.941235,0.941235
1373,0.811649,0.937854,0.872426
1372,0.904963,0.824251,0.954413
1374,0.877548,0.872771,0.872771
1375,0.774848,0.932828,0.868460
1378,0.735347,0.763359,0.759305
1376,0.845101,0.876085,0.860473
1379,0.957298,0.978934,0.975787
1377,0.913085,0.940515,0.947293
1382,0.949890,0.982396,0.975137
1380,0.857058,0.860914,0.867082
1381,0.924180,0.940877,0.940877
1383,0.877699,0.970260,0.846971
1384,0.680349,0.737070,0.737244
1385,0.918330,0.970109,0.970109
1387,0.871781,0.867177,0.867177
1386,0.914825,0.850861,0.926186
1388,0.936784,0.934660,0.955207
